Asia/Kolkata,Asia/Tokyo
0:0,3:30
0:15,3:45
0:30,4:0
0:45,4:15
1:0,4:30
1:15,4:45
1:30,5:0
1:45,5:15
2:0,5:30
2:15,5:45
2:30,6:0
2:45,6:15
3:0,6:30
3:15,6:45
3:30,7:0
3:45,7:15
4:0,7:30
4:15,7:45
4:30,8:0
4:45,8:15
5:0,8:30
5:15,8:45
5:30,9:0
5:45,9:15
6:0,9:30
6:15,9:45
6:30,10:0
6:45,10:15
7:0,10:30
7:15,10:45
7:30,11:0
7:45,11:15
8:0,11:30
8:15,11:45
8:30,12:0
8:45,12:15
9:0,12:30
9:15,12:45
9:30,13:0
9:45,13:15
10:0,13:30
10:15,13:45
10:30,14:0
10:45,14:15
11:0,14:30
11:15,14:45
11:30,15:0
11:45,15:15
12:0,15:30
12:15,15:45
12:30,16:0
12:45,16:15
13:0,16:30
13:15,16:45
13:30,17:0
13:45,17:15
14:0,17:30
14:15,17:45
14:30,18:0
14:45,18:15
15:0,18:30
15:15,18:45
15:30,19:0
15:45,19:15
16:0,19:30
16:15,19:45
16:30,20:0
16:45,20:15
17:0,20:30
17:15,20:45
17:30,21:0
17:45,21:15
18:0,21:30
18:15,21:45
18:30,22:0
18:45,22:15
19:0,22:30
19:15,22:45
19:30,23:0
19:45,23:15
20:0,23:30
20:15,23:45
20:30,0:0
20:45,0:15
21:0,0:30
21:15,0:45
21:30,1:0
21:45,1:15
22:0,1:30
22:15,1:45
22:30,2:0
22:45,2:15
23:0,2:30
23:15,2:45
23:30,3:0
23:45,3:15
